sim_day_index,year,month,day_of_month,julian,precip,runoff_volume,peak_runoff,element_id,date,effective_duration_hr,time_to_peak_s,peak_discharge_m3s,total_area_m2,contrib_area_m2,contrib_area_fraction,sum_hillslope_runvol_m3,sum_sbrunv_m3,sum_drrunv_m3,sum_gwbfv_m3,sum_gwdsv_m3,dur_area_weighted,peakro_area_weighted,dur_mean,peakro_mean,hillslope_rows,subsurface_fraction_of_runvol,drain_fraction_of_runvol,peak_to_volume_1_per_s,approx_intensity_mm_per_hr,rank,area_m2,Saturation_aw,TSW_aw,Suct_aw,Keff_aw,Rough_aw
5482,1995,1,3,3,160.3,962826.45,281.18726,400,1995-01-03,0.9511518824382964,17400.0,281.0,9790564.899999997,9790564.899999997,1.0,949472.9659999995,9765.007695999991,0.0,68.92087080000002,0.0,45000.000000000015,2.0505514718705653,45000.0,1.1527592697841724,278,0.010284661117987,0.0,0.0002920435557207,12.823999999999998,1,,,,,,
15340,2021,12,30,364,76.7,725716.86,251.14489,400,2021-12-30,0.802676163017558,4800.0,251.0,9790564.899999997,9790564.899999997,1.0,610046.3809999999,114556.50680000008,0.0,68.65011480000001,0.0,11160.000000000004,148556.56339248168,11160.0,77339.8387027086,278,0.1877832741376431,0.0,0.0003460645657315,24.74193548387096,2,,,,,,
11311,2010,12,19,353,70.6,519923.86,216.22231,400,2010-12-19,0.6679389117822506,7200.0,216.0,9790564.899999997,9790564.899999997,1.0,467210.78400000033,52098.24853,0.0,68.92087080000002,0.0,18000.000000000007,1.9622288003215136,18000.0,1.111538920863309,278,0.1115090882191622,0.0,0.0004158730280237,14.119999999999994,3,,,,,,
15938,2023,8,20,232,145.3,587597.1,201.05865,400,2023-08-20,0.8118099702085271,5400.0,201.0,9790564.899999997,7426147.499999998,0.7585004109415587,581632.3200000002,2655.298206000001,0.0,68.92087080000002,0.0,9557.105177863645,1.5901030357485173,9608.63309352518,0.8426230374460429,278,0.0045652521613654,0.0,0.0003421709365141,54.73205434754117,4,3191701.5999999996,0.5987571416450712,25.401228813495603,5.062208813317637,0.25,20.000000000000004
9060,2004,10,20,294,74.4,405073.01,189.68129,400,2004-10-20,0.5932070609365614,3000.0,190.0,9790564.899999997,9790564.899999997,1.0,378449.7390000002,25399.432210000017,0.0,68.918488707,0.0,6480.000000000002,1.532883061751504,6480.0,0.8671104136690645,278,0.0671144133356107,0.0,0.0004682644494136,41.33333333333333,5,3191701.5999999996,0.5309968582275988,22.497222025392354,4.614120091615082,0.21999999999999995,20.000000000000004
1065,1982,11,30,334,78.0,411324.27,189.332,400,1982-11-30,0.6034729557954633,3000.0,189.0,9790564.899999997,9790564.899999997,1.0,386812.9499999998,23111.771959999995,0.0,68.92087080000002,0.0,6840.000000000003,1.8504604274744552,6840.0,1.0442544244604317,278,0.0597492197714683,0.0,0.0004602986349431,41.05263157894735,6,3191701.5999999996,0.8972765743514374,37.920426172045666,0.34,0.21999999999999995,20.000000000000004
4756,1993,1,7,7,58.2,482722.86,185.73266,400,1993-01-07,0.721949943178186,10800.0,186.0,9790564.899999997,9790564.899999997,1.0,395977.3449999999,86301.32850000002,0.0,68.92087080000002,0.0,26640.00000000001,1.6300356096607769,26640.0,0.9245862122302164,278,0.2179451162793165,0.0,0.0003847604399758,7.864864864864862,7,3191701.5999999996,0.9610266163353117,40.81761813541718,0.34,0.21999999999999995,20.000000000000004
14261,2019,1,16,16,49.8,465960.23,180.0359,400,2019-01-16,0.7189310422100382,8400.0,180.0,9790564.899999997,9790564.899999997,1.0,336077.86799999996,129284.60999999996,0.0,68.92087080000002,0.0,20880.000000000007,1.5305370458270593,20880.0,0.873807388489209,278,0.3846864739096714,0.0,0.0003863761076776,8.58620689655172,8,3191701.5999999996,0.98,41.43824138165047,0.34,0.21999999999999995,20.000000000000004
46,1980,2,15,46,116.3,1028897.68,165.64967,400,1980-02-15,1.7253575640151362,10800.0,166.0,9790564.899999997,9790564.899999997,1.0,923737.889,103563.16230000004,0.0,54.004351,0.0,27360.00000000001,58127.29861232089,27360.0,27408.87121667267,278,0.1121131476073945,0.0,0.0001609972237472,15.30263157894736,9,3191701.5999999996,0.9245182074665128,39.180900525600535,0.34,0.20999999999999996,20.000000000000004
4424,1992,2,10,41,90.4,706651.8,160.21571,400,1992-02-10,1.2251742770210654,14400.0,160.0,9790564.899999997,9790564.899999997,1.0,588131.8649999996,117087.89260000002,0.0,68.92087080000002,0.0,36720.000000000015,1.146724749282322,36720.0,0.6532931258992807,278,0.199084422334437,0.0,0.0002267251141226,8.862745098039213,10,3191701.5999999996,0.9155874637528779,38.7373683031647,0.3413298978200218,0.21999999999999995,20.000000000000004
